,Freq,Calls,Date,Prop,Country,City,State,Miles
33,88.1,WNJT,2005-04-11,G,,Trenton,NJ,13.0
32,88.1,WNJS,2005-04-11,G,,Berlin,NJ,27.0
19,88.1,WDIY,2008-07-01,T,,Allentown,PA,46.0
40,88.1,WZZD,2011-07-26,T,,Warwick,PA,57.0
26,88.1,WJPG,2008-07-27,T,,Cape May Courthouse,NJ,69.0
37,88.1,WXBA,2007-09-19,T,,Brentwood,NY,92.0
34,88.1,WNYX,2010-05-27,T,,Montgomery,NY,98.0
35,88.1,WRGN,2012-07-12,T,,Sweet Valley,PA,107.0
38,88.1,WYPR,2007-05-30,T,,Baltimore,MD,113.0
30,88.1,WMNR,2006-08-17,T,,Monroe,CT,116.0
21,88.1,WGWR,2008-06-16,T,,Liberty,NY,117.0
20,88.1,WESU,2012-07-12,T,,Middletown,CT,149.0
24,88.1,WHOV,2008-07-12,T,,Hampton,VA,230.0
31,88.1,WNCH,2013-10-16,T,,Norwich,VT,259.0
27,88.1,WKNC,2010-09-03,T,,Raleigh,NC,366.0
39,88.1,WZIP,2018-06-30,T,,Akron,OH,375.0
16,88.1,WCQA,2018-06-27,E,,Asheville,NC,528.0
1,88.1,CBAL-4,2006-09-18,T,,Saint John,NB,569.0
28,88.1,WLXP,2013-07-03,E,,Savannah,GA,656.0
22,88.1,WHID,2010-06-17,E,,Green Bay,WI,734.0
17,88.1,WCRJ,2012-06-01,E,,Jacksonville,FL,779.0
23,88.1,WHJL,2012-06-07,E,,Merrill,WI,834.0
7,88.1,KDHX,2008-06-27,E,,St. Louis,MO,843.0
6,88.1,KBBG,2014-06-30,E,,Waterloo,IA,923.0
36,88.1,WUWF,2007-06-16,E,,Pensacola,FL,959.0
29,88.1,WMAW,2007-07-14,E,,Meridian,MS,967.0
15,88.1,WAYF,2007-06-21,E,,West Palm Beach,FL,985.0
25,88.1,WJIS,2007-07-26,E,,Bradenton,FL,997.0
14,88.1,KVSC,2007-06-26,E,,St. Cloud,MN,1050.0
4,88.1,K201HD,2008-07-22,E,,Clara City,MN,1087.0
10,88.1,KJTY,2011-07-26,E,,Topeka,NE,1093.0
12,88.1,KMLV,2011-07-09,E,,Ralston,NE,1112.0
9,88.1,KFHC,2010-06-24,E,,Ponca,NE,1141.0
5,88.1,KAYT,2007-07-10,E,,Jena,LA,1153.0
8,88.1,KDIM,2015-06-23,E,,Coweta,OK,1201.0
2,88.1,CKSB-10,2015-06-22,E,,Winnipeg,MB,1303.0
13,88.1,KNTU,2007-07-14,E,,McKinney,TX,1319.0
3,88.1,HIGP,2007-08-11,E,,Santiago,DR,1433.0
18,88.1,WCRP,2019-07-03,E,,Guayama,PR,1588.0
41,88.1,XHRED,2015-06-23,E,,Mexico City,MX,2018.0
4606,88.1,KOIA,2017-07-27,Es,USA,Storm Lake,IA,1070
4493,88.1,KKRI,2017-06-25,Es,USA,Pocola,OK,1119
2569,88.1,KPAQ,2016-06-29,Es,USA,Plaquemine,LA,1148
352,88.1,KLBT,2015-05-14,Es,USA,Beaumont,TX,1302
5381,88.1,KOYA,2018-06-20,Es,USA,Rosebud,SD,1364
5753,88.1,KWOU,2019-06-21,Es,USA,Woodward,OK,1365
356,88.1,HIJ20,2015-06-03,Es,DOM,Loma El Mogote,esp,169X
4855,88.1,WKIV,2018-05-09,Tropo,USA,Westerly,RI,181
5583,88.1,WFHL,2018-09-02,Tropo,USA,New Bedford,MA,233
3988,88.1,WMBR,2016-10-08,Tropo,USA,Cambridge,MA,253
5435,88.1,WDPR,2018-06-27,Es,USA,West Carrollton,OH,509
4679,88.1,WBCJ,2017-07-27,Es,USA,Spencerville,OH,515
5501,88.1,WRJA,2018-07-09,Tropo,USA,Sumter,SC,517
5193,88.1,WRFL,2018-06-20,Es,USA,Lexington,KY,543
4320,88.1,WYCE,2017-06-25,Es,USA,Wyoming,MI,607
4664,88.1,WVPE,2017-07-27,Es,USA,Elkhart,IN,614
1685,88.1,CKDU,2015-10-13,Tropo,CAN,Halifax,NS,651
5954,88.1,WUTC,2015-08-11,Es,USA,Chattanooga,TN,664
2436,88.1,CBAF-15,2016-06-11,Es,CAN,Charlottetown,PE,718
938,88.1,WJSP,2015-06-30,Es,USA,Warm Springs,GA,738
4223,88.1,WJTY,2017-06-13,Es,USA,Lancaster,WI,842
5383,88.1,WWEN,2018-06-20,Es,USA,Wentworth,WI,987
4775,88.1,KDPS,2017-08-15,Es,USA,Des Moines,IA,998
75,88.3,WVBH,2007-03-30,T,,Beach Haven West,NJ,38.0
64,88.3,WBGO,2005-04-11,G,,Newark,NJ,54.0
70,88.3,WLKA,2007-08-26,T,,Tafton,PA,107.0
73,88.3,WRAU,2010-04-11,T,,Ocean City,MD,122.0
69,88.3,WLIU,2006-04-11,T,,Southampton,NY,134.0
76,88.3,WZXQ,2007-10-05,T,,Chambersburg,PA,142.0
59,88.3,WAER,2012-06-22,T,,Syracuse,NY,213.0
65,88.3,WGPS,2006-09-09,T,,Elizabeth City,NC,275.0
74,88.3,WRVL,2006-08-18,T,,Lynchburg,VA,318.0
44,88.3,CJIQ,2007-09-18,T,,Paris,ON,363.0
72,88.3,WPPR,2012-06-04,E,,DeMorest,GA,622.0
68,88.3,WJLY,2012-07-20,E,,Ramsey,IL,763.0
60,88.3,WAFR,2012-06-02,E,,Tupelo,MS,858.0
61,88.3,WAPR,2009-06-11,E,,Selma,AL,863.0
62,88.3,WAYP,2008-05-29,E,,Marianna,FL,866.0
71,88.3,WPOZ,2009-07-28,E,,Union Park,FL,872.0
48,88.3,KCCK,2010-06-24,E,,Cedar Rapids,IA,886.0
57,88.3,KYEC,2015-06-21,E,,Doniphan,MO,904.0
43,88.3,CBQT,2007-05-11,E,,Thunder Bay,ON,918.0
66,88.3,WHWC,2012-06-07,E,,Menomonie,WI,930.0
56,88.3,KWND,2007-05-11,E,,Springfield,MO,1003.0
67,88.3,WIRP,2005-05-22,E,,Pennsuco,FL,1037.0
42,88.3,ZNW,2014-05-11,E,,Nassau,BAH,1049.0
47,88.3,KBPN,2010-06-17,E,,Brainerd,MN,1077.0
50,88.3,KJGM,2014-06-09,E,,Bastrop,LA,1084.0
45,88.3,KABF,2008-08-04,E,,Little Rock,AR,1085.0
63,88.3,WAZQ,2007-07-29,E,,Key West,FL,1149.0
55,88.3,KQIQ,2015-06-18,E,,Beatrice,NE,1177.0
49,88.3,KESD,2008-06-27,E,,Brookings,SD,1179.0
53,88.3,KOLB,2012-05-31,E,,Hartington,NE,1192.0
58,88.3,KYFW,2012-05-31,E,,Wichita,KS,1220.0
46,88.3,KAFR,2012-06-04,E,,Conroe,TX,1333.0
52,88.3,KOEG,2015-06-23,E,,Walters,OK,1353.0
51,88.3,KLMP,2011-06-10,E,,Rapid City,SD,1505.0
882,88.3,WRBH,2015-06-30,Es,USA,New Orleans,LA,1102
206,88.3,KPCP,2015-05-14,Es,USA,New Roads,LA,1141
2219,88.3,KRTG,2016-04-28,Es,USA,Carthage,TX,1230
2117,88.3,KTGS,2015-12-31,Es,USA,Tishomingo,OK,1261
5593,88.3,WQHE,2018-10-05,Tropo,USA,Oil City,PA,288
5960,88.3,WCQR,2015-08-11,Es,USA,Kingsport,TN,470
5224,88.3,WAIF,2018-06-20,Es,USA,Cincinnati,OH,525
4291,88.3,WCXK,2017-06-25,Es,USA,Kalamazoo,MI,596
6242,88.3,WAFJ,2015-08-11,Es,USA,Belvedere,SC,597
1862,88.3,WSGP,2015-12-30,Es,USA,Glasgow,KY,633
4230,88.3,WNIN,2017-06-13,Es,USA,Evansville,IN,689
6199,88.3,WLPT,2015-08-11,Es,USA,Jesup,GA,696
1863,88.3,WAYQ,2015-12-30,Es,USA,Pegram,TN,730
4281,88.3,WPJC,2017-06-25,Es,USA,Pontiac,IL,737
2060,88.3,WUTU,2015-12-30,Es,USA,Sasser,GA,785
1744,88.3,WKPK,2015-12-26,Es,USA,Petdskey,MI,799
